model_id,has_clash,global_ptm,global_iptm,global_plddt,ranking_confidence
1-1,0.0,0.7885,0.8075,75.23,0.8037
1-2,0.0,0.7872,0.8072,75.15,0.8032
1-3,0.0,0.7876,0.8064,74.98,0.8027
1-4,0.0,0.7865,0.8056,75.18,0.8017
1-5,0.0,0.7867,0.8047,75.1,0.8011
