model_id,has_clash,global_ptm,global_iptm,global_plddt,ranking_confidence
1-1,0.0,0.7879,0.7967,74.75,0.7949
1-2,0.0,0.7871,0.7957,74.67,0.7939
1-3,0.0,0.7872,0.7945,74.37,0.793
1-4,0.0,0.7873,0.794,74.42,0.7927
1-5,0.0,0.7859,0.7928,74.56,0.7914
