model_id,has_clash,global_ptm,global_iptm,global_plddt,ranking_confidence
1-1,0.0,0.7872,0.8014,75.73,0.7986
1-2,0.0,0.7872,0.8009,75.67,0.7982
1-3,0.0,0.7873,0.8008,75.6,0.7981
1-4,0.0,0.7862,0.7997,75.58,0.797
1-5,0.0,0.7859,0.7992,75.53,0.7965
