model_id,has_clash,global_ptm,global_iptm,global_plddt,ranking_confidence
1-1,0.0,0.7956,0.8092,75.52,0.8065
1-2,0.0,0.795,0.8089,75.45,0.8061
1-3,0.0,0.7943,0.8079,75.37,0.8052
1-4,0.0,0.794,0.8077,75.42,0.805
1-5,0.0,0.7935,0.8074,75.2,0.8046
