model_id,has_clash,global_ptm,global_iptm,global_plddt,ranking_confidence
1-1,0.0,0.7768,0.7688,74.95,0.7704
1-2,0.0,0.7753,0.7663,74.99,0.7681
1-3,0.0,0.775,0.7659,74.87,0.7678
1-4,0.0,0.7722,0.7637,74.89,0.7654
1-5,0.0,0.7716,0.7637,74.85,0.7652
