PDB,peptide,receptor
8F7Q,P,R
6DDE,D,R
6DDF,D,R
8EFQ,P,R
8K9K,S,R
8K9L,S,R
7Y1F,F,R
8F7W,P,R
8F7R,P,R
8F7X,P,R
