model_id,has_clash,global_ptm,global_iptm,global_plddt,ranking_confidence
1-1,0.0,0.7662,0.7623,75.87,0.7631
1-2,0.0,0.7659,0.7621,75.94,0.7629
1-3,0.0,0.765,0.7617,75.75,0.7624
1-4,0.0,0.7641,0.7609,75.73,0.7616
1-5,0.0,0.7636,0.7604,75.8,0.761
