model_id,has_clash,global_ptm,global_iptm,global_plddt,ranking_confidence
1-1,0.0,0.7832,0.7926,74.47,0.7907
1-2,0.0,0.7841,0.792,74.45,0.7904
1-3,0.0,0.7823,0.7915,74.19,0.7897
1-4,0.0,0.782,0.7912,74.3,0.7893
1-5,0.0,0.7811,0.79,74.2,0.7882
