model_id,has_clash,global_ptm,global_iptm,global_plddt,ranking_confidence
1-1,0.0,0.8054,0.8254,76.67,0.8214
1-2,0.0,0.8058,0.8245,76.49,0.8208
1-3,0.0,0.8044,0.8244,76.53,0.8204
1-4,0.0,0.804,0.8239,76.45,0.8199
1-5,0.0,0.805,0.823,76.35,0.8194
